P63101	YWHAZ
Q8CA40	GM10010
Q8K2C2	DCUN1D4
Q9CS04	BRF1
Q9DCE1	STX7
A0A087WPA8	KCNQ1
A0A087WQP8	GM21698
A0A0A6YVP6	STAM
D3YYE9	FCHO1
D6RCG0	FCHO1
E9QMD3	ZFHX3
Q3U837	DDX39
Q61621	GNB1
Q8BPP7	FRAS1
Q8BZJ0	OGFRL1
Q8CBK7	9130019O22RIK
Q9JLM1	TERT
A0A0A6YYE3	TRBV15
A2A6V6	RGS9
D3YVP6	GSTM7
D3YWK6	TPMT
D3YYP5	DFNA5
D3Z372	MEF2B
D3Z5M6	ADGRL3
D3Z6I5	DONSON
D3Z748	UGT1A8
Q3TTQ1	DNAH8
Q4KL64	ALYREF2
Q6LEL3	IGH
Q6NS70	GM20939
D3Z2M8	KXD1
D3Z5U3	DNASE2A
H3BJC7	TTLL5
H7BU26	TRPS1
Q8C9W6	CLOCK
H3BJ83	PPP2R1B
V9GX71	TMEM132B
A4IF59	VIM
H3BJD4	DLGAP4
H3BJK6	ALG9
H3BJU7	ARHGEF2
Q14AY0	L3MBTL1
Q14B82	MAP4K2
Q8R0E4	ARHGAP20
S4R1T1	RBPMS
Q31103	H2-EB1
Q8MHV1	KLRA1
S4R1S3	BIRC6
S4R1Z0	RNF114
A0A0A0MQ79	PRRC2C
M4H2J7	MX1
Q3V066	4930558J22RIK
Q69ZS5	EPN2
Q9ER83	SR513
S4R1D2	PSG21
A0A0U1RNL8	CEP89
Q497U9	ITPR2
Q8CEM8	RIF1
A0A0G2JGX8	GSAP
A0A0U1RNV0	GTF3C1
A0A0N4SVS8	ASUN
Q65ZL8	VH7183-DSP2-JH3-CH1
S4R217	ICA1
O88266	GM5595
Q99JN5	CNN3
Q9D9Z9	1700024J04RIK
A2AEB9	MORF4L2
D6RE28	SPIC
D6RH78	SULT5A1
D6RJ11	EIF4A2
F6VPB5	TH
Q05BP4	KIF1A
Q91X73	AURKAIP1
Z4YN77	0610010F05RIK
A0A0A0MQJ7	CIZ1
B2FDH0	UBE2E3
D5MR27	MC1R
F2Z444	4933427D14RIK
F6V2H5	VIL1
F6YZ72	STOX1
F6Z4L9	LRRC47
F6ZRZ4	SPAG8
Q3USV7	PBX1
Q5NCB3	GM5431
Q69ZU7	RGL1
Q99M32	TSPO
Q9D8H2	TMIGD1
A2ARN2	TNK1
B0QZZ9	RUSC2
B1AUN0	WASF2
B2ZGH2	HRH4
F6VZK2	FAM92A
F7BX42	NPTXR
Q5R1H4	TRAV6D-6
Q6P3Y0	C4A
Q6ZWR1	SYNE1
Q8K3J2	BAX
A0A0A6YXS0	DTL
A0A0A6YY64	PFKFB3
A2A4P3	GM27029
A2AQV2	CHST14
B1ATL6	MAP2K4
E0CXB6	SNX31
E9PZY8	1110037F02RIK
F6TIL5	VWA5A
F7A6K2	ZCCHC9
F7BCK0	DCDC2B
G3UWH9	COG4
J3QN85	FGFR1
Q5DTM2	OSBPL6
Q6KAM8	FLNA
Q7M701	KLC1
Q8BR46	TMEM44
Q9D7B3	GNAT2
A2AJS2	TCEAL5
E0CXC7	SIDT2
E9PV26	PRR36
E9Q7V8	TMEM8B
F6UPK0	MEGF11
F7ALC8	MAP2
L7N1X4	ZFP457
G3UYY5	PTPN6
G3V021	EFTUD2
Q3T9A1	EHD1
Q3TWZ3	SERINC3
Q3U6A2	RBM14
Q3UGJ0	IP6K1
Q3UH83	GUCY1A2
Q3UKF7	FND3C2
Q3UP52	BMPR1A
Q3UW01	GM10498
Q3V316	D130050E23RIK
A2AUP6	DENND1A
E9PUG8	DPPA4
E9Q144	PNPLA2
F6SP57	SCCPDH
Q3TQ07	AP3B1
Q3U048	ARHGEF11
Q3U2Y9	DENND4C
Q3V0C0	4932427H20RIK
Q8K4I1	VMN1R28
E9PW77	CREB3
Q5U224	TBC1D14
Q8BW63	GCNT2
G3UXH6	SMPD5
G3XA79	PRC1
Q3TAG1	KIRREL3
Q3U0T7	SP2
Q80UQ8	WASF2
Q9D447	4933413J09RIK
Q3TAK2	LHFP
Q3U1A2	HRH3
F6RX76	CDKL3
Q8C2N8	ABCE1
A0A087WSN7	MAPKAPK2
E3VRZ6	KCNMA1
F6SJR1	AHCTF1
F6TDF4	ADAM22
M0QW65	ASNSD1
Q3TPM9	NIPBL
Q571G5	ZC3H6
Q60915	ZFP65
Q80VL2	ZFP961
Q8BKH4	TRPM3
Q8BY44	ITGB1
Q8BZ68	FGD5
Q8CE37	IDE
Q9CT28	KMT2B
Q9DAP4	GML2
S4R170	CCSER2
Z4YN92	AKAP17B
A0A087WNM5	AAMP
A0A087WRG1	ALS2CR12
A0A0A6YWS0	SEMA3F
A0JNZ0	NEDD4
D3YTS4	LAMTOR2
D3Z295	TMEM184A
D3Z7K5	PAQR7
F6TBV1	MAGT1
Q6GX99	MMP12
Q7TS70	PPP1R13B
Q8BK34	ZFP606
Q8BVC6	YTHDF3
Q8CDI8	TOP3A
Q91ZR8	TGFBR2
Q9EQ62	ASPH
A0A087WPS5	CEP70
Q6XAS1	SSXB6
Q8BJ43	KAZN
Q8BMY6	ME3
Q8BRU1	CLOCK
Q8CGS7	NAIP2
Q8VCQ4	KDM5B
Q9CVI9	CCPG1
Q9R0X1	P4(21)N
Q9Z2D2	SBF2
A0A0A6YWV5	QRICH1
D3YU10	FGF20
D3YYE8	ZFAND5
D3YZ25	LCP1
D3Z3Y0	MRGPRF
D3Z6T6	PI16
F8WIP7	DPF2
I6L9D3	CDK17
H3BLM8	GBF1
Q3UNC0	GMPPA
Q3UTR9	TRIP11
Q6ZQL6	TMEM134
Q7TPT0	C87499
Q8BSU6	GM9966
Q8BZP3	DSEL
Q8CGJ1	KIF3A
Q8VCK0	RAPGEF6
Q99KU4	SKI
A0A075B5T6	IGHV10-3
B7ZWE9	FAM92B
D3YV39	MX1
D3YXB7	SPG7
D3Z152	TAX1BP1
D3Z5B1	ZBED5
D3Z5P3	ZFP740
A0A0A6YW83	NUP214
V9GX56	PANK2
F8WGU9	CYP4A31
Q3TNL6	SLC4A1
B7ZWI6	LY6G6F
H3BKB2	METTL23
H3BKR2	GNB1
Q45TP8	CMTM5
A0A075B6C9	TRAV13-4-DV7
H3BLA4	PRR36
H3BIX5	GBF1
Q6P237	MBD3L2
Q78E63	ASIC2
Q8CDE3	GM5766
Q31142	H2-K1
Q8C5P2	ZEB1
A6NAS5	GM3468
O19449	H2-K1
Q3TQQ6	RAD23B
S4R1A8	HTRA2
A0A0U1RNT1	CCDC189
K7N660	GM10220
Q3UWT5	RALBP1
A0A0E4HJ81	KATNAL2
A0A0G2JFF6	TTLL7
A0A0G2JGK6	NFKB1
A0A0G2JE34	PILRB1
A0A0G2JG44	UOX
A0A0U1RPP0	BLM
A0A0N4SVI0	OAZ3
A0A0U1RNY8	FAM174B
A0A0N4SUV7	DERA
A0A075B5M3	IGKV4-58
D2XZ33	SCGB1B3
D6RI80	PI4KB
E0CYZ8	ZFP12
O89072	RPS2
Q8CCV2	ENTPD3
Q8VDT8	ZFP189
Q9D627	PTGFR
E9JGN0	DAPK2
J3QNE1	GM8879
J9TN51	P2RX4
Q924Q1	IGHV1-53
W8QK46	GM39774
A2ADB4	CLCNKA
D6RJK5	FGFR2
F6ZAX1	PABPC1
F6ZDJ1	TOM1L2
F8VPZ9	GLTSCR1
Q08EM5	CAPN3
Q8BQL7	TOLLIP
Q9D5L2	4930426D05RIK
D3Z7Q2	SMIM20
D6RI14	TM7SF3
D6RI93	PAM16
E0CYT7	THEMIS
F6UFI2	COL20A1
F7CUE2	1110017D15RIK
F8VPT7	SIK2
Q4FK06	ICAM1
S4R2L6	SFTPB
A2A961	OOG2
A2AGR1	MADD
A2CG33	CHRD
A9C480	1700011H14RIK
F6U715	RNF123
F7ANV6	ANXA4
O88381	RTF1
Q2TJI2	PCDH9
Q3TUZ8	KRT86
Q8BKC7	CDK19
Q8CAV3	NRF1
Q9CTW8	A730035I17RIK
A0A024CD98	SMN2
A0A087WPC5	HDLBP
A0A087WS93	FAM135A
D3YXY1	4930563I02RIK
D3YYN8	CDC42BPA
A0JLV3	HIST1H2BJ
E9PVN5	CETN4
E9PWA3	TNK2
E9Q260	STK31
E9Q648	VPS53
Q3TME1	MORF4L2
Q80ZA2	POU4F1
E9Q741	CLCN6
Q1LZL1	ADAMTS2
Q3TBV3	FAM8A1
Q3TIS9	TYK2
Q9D8B0	MGST3
E9QPC5	METTL14
J3JS81	IBA57
Q5SVI0	CAMK2B
Q7TT82	RBM15
Q8BSM9	IGFBP4
Q8BWL2	LMNTD1
Q8C7Z5	KCNJ10
Q9D3M1	RCBTB1
A0A087WPK6	LSAMP
B7ZWB6	SSXB1
V9GXH1	RHOX2G
A0A087WPR5	PTPN18
B1AVD7	FRMPD3
E9QLX1	CD1D2
H3BIZ4	GM7120
L7N2C6	GM8279
Q2V6Q0	BRPF1
Q80XJ5	PVRL2
Q8BV43	XPNPEP1
Q8VDL3	ZFP52
D3Z3S7	MCF2L
D3Z3Z8	POLR2I
F8WJI4	ERP29
Q05C83	6720489N17RIK
Q3TSU8	LIG1
Q3UT71	A630010A05RIK
Q3UW86	PHIP
E0CXS0	A930011G23RIK
E9PXT5	CUL4A
E9Q579	SLC25A22
E9Q7G6	RBMS2
G3UZT6	BAG6
Q3TZ85	GM10648
Q3UG32	FGD1
Q3USI2	LAMB2
Q3UUR0	RGS9
Q3UYN1	PROSC
Q3V0M6	DTNA
Q6ZQM3	SAMHD1
C0IMX1	SMARCE1
F8WJL9	BCORL1
H3BKA5	GGT7
H3BLQ0	PPP2R1B
Q80VD0	SMO
S4R1Y5	RPF2
A0A088DEG2	SHANK3
Q571C5	SYT4
Q8K3Z7	MER
A0PJG9	RBBP6
Q3KNY7	MAP3K14
Q3SYJ4	IGH
Q6TYZ0	ADAM33
Q8BSJ8	PHIP
Q9D0I3	FAM204A
A0A0U1RNR5	BC049730
Q8K4T9	OXCT2A
A0A0U1RPI8	VIMP
Q3B7X8	CFAP43
Q9TQ72	H2-AA
A0A0G2JDT1	UBAP2L
A0A0G2JEY3	SUPT20
A0A0G2JE05	MAGI2
A0A0G2JGV4	DBT
A0A0G2JET1	IGHV8-9
A0A0G2JG52	AIM1
A0A0G2JFP2	DCUN1D1
A0A0J9YUC0	FMO6
A0A0J9YV63	SYNGAP1
E9QAT6	CAD
A0A0M5MR12	OLFR1444
E9Q1I6	MPV17
A0A0N4SW20	MCM2
A5D8Z1	GFRA4
D6RFP0	MCAM
Q6P1I1	SS18
Q9CV06	COL22A1
Q9JKN2	SLC30A5
S4R2D3	SH3BP1
D6RHS3	TBC1D14
E0CYW0	SERPINI1
O35195	VMN2R104
A1Z2X8	NPHP1
B1AQG3	5730455P16RIK
D6RH50	STAG1
E9QKX5	VPS13B
F6Z9L5	SENP3
Q05BR3	KLHL18
Q80TK6	MKIAA1086
Q9CRN1	ATRIP
Q9D2J1	GSTO2
D6RFE0	RASA3
D6RH93	HDAC5
E0CY85	ZDHHC4
F7AYY9	ADAM22
A0A0A6YW21	RPL22L1
A0A0A6YXX9	GM16432
A2ANU5	ZFP120
B0QZT5	DSN1
B7ZC54	APOL6
D6REH6	BCORL1
F6UNQ3	FER1L4
F6VCI2	TANC2
F6WR04	CTSS
F7AB47	TMBIM7
F7BP45	POLG
F8VQD1	PBRM1
Q5SWT9	IKZF1
Q2PZA2	NOD2
Q3U8A7	ASAH1
Q5DTZ2	MACF1
Q5ERC7	SLC2A9
Q8BK57	EIF2B2
Q9DAN2	ZFP558
D9IG22	LARGE
E0CXF1	INSIG2
F2Z493	MAGEA4
F6QWV4	PRKCI
F6QYT9	KALRN
F6XYA0	SUN1
F7B7X2	TRIM44
F7DB73	RECQL
I3PQW7	ALPK1
L7N1X0	GM28044
Q2TJI8	PCDH1
Q3TYN8	RAP1GDS1
Q8K3L1	TRIM61
Q9R2A1	HSC70T
A0A0A6YW68	ZMYND10
A0A0A6YXI3	RCOR3
A2A841	EPB41
A8XY18	RAMP2
B0V2H4	ATP6V1G2
E0CY41	RNF32
E9PV66	MYO18B
F6UPM1	MLXIP
G3UY62	YAP1
G8CZ89	4930503L19RIK
J3QN50	GM11168
J3QPY8	2810408A11RIK
Q8BJS6	EDA2R
V9GXA8	TFPI2
A0A067XG47	RBM8A
B1ATQ3	MDH1
D3Z5Y3	MOSPD3
E9PYE1	MPPED1
E9PZZ6	OLFR1510
E9Q679	CAMK1G
F6S5E4	TRP53BP1
G3UWV6	AGPAT1
Q3U224	ELMSAN1
Q3UG21	TTC3
Q3UQV4	CDYL2
Q3V2W2	PTK7
Q6A040	ADAMTSL2
Q99JX8	PSMD2
B9EKB3	WWP1
E9PX24	LYRM9
E9PY17	HMGCR
E9Q1X7	RHOBTB1
E9Q3X7	RELL2
E9Q5D6	RANBP9
E9Q5T2	IRF5
E9Q8A1	SNAP23
F6S1V7	TLN1
G3UZN3	PITX3
Q3TMM0	CNOT4
Q3TQT9	ZFP788
Q3U043	TBX3
Q3U2M9	TRIOBP
Q3UE03	CEP104
Q3UJV0	TRIP4
Q3UL50	WDR74
Q3USG6	CHD1
Q3UU60	GSG2
Q3UUU5	PDLIM2
Q3UY18	6430553K19RIK
Q3UZP7	PALM
A0A087WRU2	ANK3
E9Q6J8	DMWD
Q3TPG3	NUP98
Q5U221	PAN3
B7SNM8	MDM1
Q3TRS1	A4GALT
Q4U110	RELB
A0A087WQQ1	K230010J24RIK
B7ZN20	ELMOD1
G3UXX5	POLR1C
Q3TKZ2	GM1971
Q3TM02	A730017L22RIK
A0JLR5	ABTB2
B2RUK0	RUSC2
B7ZNJ7	TDRP
Q3THN2	DERA
Q3TST9	FAM178A
Q3UF85	GLRX5
E0CY08	RNF8
E9QLJ0	CMYA5
F6SPW1	MYD88
F6TCC6	ITSN1
L7N217	VMN2R12
Q3TBS2	NFAM1
Q8BKI7	GLI2
Q8C0E8	FRMD4B
Q8CFL4	NPDC1
Q9CT51	RNF25
A0A087WR15	MRGPRB1
A0A087WS35	TUBA4A
D3YXQ4	CHN2
D3YYD1	PRDM10
D3Z2A6	ZDHHC3
D3Z3G6	MAPK3
M0QWB7	ASCL5
Q08EA5	SERPINA1F
Q6P550	BMP1
Q8BI18	LOXHD1
Q8BLT0	CDK5R1
V9GX40	SYNRG
A0A087WPT2	PTGS2
A0A087WS25	DNAJC13
A2KTK4	IGHVDJ
D3YUR4	HS3ST1
D3Z466	GAD1
Q5R1E7	TRAV4-2
Q6P9T1	SOX17
Q8BFP6	RTKN2
Q8BNK8	SYPL2
Q8C6N2	D830025C05RIK
Q8R020	GM15498
Q8VCX4	IGH
Q9CZP8	CEP55
Q9DC94	SSR4
A0A087WRE0	ACY1
D3YTN7	AGPAT3
D3YVX7	NRF1
D3YXE7	PPP1R13L
Q3TU08	HPS5
Q66JY8	CYP27B1
Q7TRJ8	OLFR115
Q8BY39	NOTCH1
Q8C9T0	CNOT11
Q8CEH9	WDR47
A0A075B622	TRAV10N
B2KG46	BICD1
F8WH20	OSBPL3
Q6ZZ97	H2AA
H3BJU4	TRAF7
Q571C0	TMEM108
S4R241	ANK2
H3BKZ2	IP6K1
M0QWV7	SENP1
Q0VE44	BEND7
Q9EQL8	ZFP36L2
Q9WU95	OLFR683
A0A075B5S0	IGHV16-1
F8WIV1	ZBBX
F8WJK8	ST13
H3BKU7	NEGR1
Q2HPE2	EP2C/H
M0QWM6	FBXO31
Q8R3X4	TIMM44
Q9QZU0	GCL
A0AUN3	SNRK
D6RH89	CEP57
A0A0B4J1M9	MAP4
J3QN04	GM21976
Q69Z43	NEK9
Q8R3U8	MAPKAPK2
A2A9Q9	GM14781
A8Y5P1	SLC31A1
B5B2Q9	NFATC2
B7ZN43	TEX26
B9EKQ3	PRDM2
E9Q800	IMMT
F6WV49	BZRAP1
F7CRG8	MARK2
G3UX78	COG4
H7BX23	P4HA3
Q3UEM8	HSPA5
Q3URN1	GM16401
Q3UUV8	DICER1
Q5SQA7	TLE1
Q8BWM7	UGGT1
E0CXV1	RAPGEF1
F6ZRM1	TTLL9
G3UWP1	COBL
H8ZX58	SRY
J3QJU5	LLGL2
Q3TVG3	PRDM4
Q3TYH0	IRF2
Q3UUX8	4732440D04RIK
Q4KKX7	IL2RB
A0A067XG46	RPGR
A2AIR4	GRIN3A
B0LAE5	UGGT1
A0A087WQT7	NCK2
A0A087WRM5	NCL
A2AVE0	IL9R
F6THH9	42437
M0QWK1	NDFIP2
Q3UYK0	GJB6
Q62494	SLC39A1
Q7TMG3	WWP1
Q80U91	R3HDM1
Q80VF1	LLGL1
Q8BRT0	FBXO16
Q8BZK6	GM10033
Q8C1H5	MT-ND1
Q8CCA9	HOTTIP
Q8CEN1	ABCA6
Q9CUQ3	CCDC175
Q9D8P5	MXD4
A0A087WPE8	THAP4
D3YUR8	0610007P14RIK
D3YWU1	TRAFD1
A0A0G2JEN6	ASPHD2
A0A0G2JGC3	IFT81
A0A0G2JF32	GTPBP10
A0A0J9YU03	POLG
A0A0J9YTZ8	PXN
A0A0N4SUU3	EEFSEC
A0A0J9YVH4	TMEM129
A0A0N4SVH2	CLASP1
A0A0N4SWH7	ITPR1
A0A0N4SUW1	CUL1
A0A0N4SVA8	ATF7IP
A0A0N4SWA2	ABCG2
D6RI40	TMEM123
Q3TAT6	XDH
Q6A0C5	UBE4A
Q8C1E6	FSD2
Q8R4D4	STAT6
S4R2I7	PORCN
A0AUN7	TAAR4
D6RDR0	TXNDC11
D6RII4	CDK5RAP3
E0CYF5	MAF1
E0CZA1	CCT5
F8VPN7	DOCK9
Q4FZG1	PHF3
Q8CC10	9330159N05RIK
Q9CZF3	MTF1
Z4YK42	NADK2
A0A0A6YXC6	A130010J15RIK
A2A6J1	TNNT3
E0CYW6	TMEM33
F6WKB0	42439
F6ZIG1	GM17124
F7BB55	GLOD4
F7BWD7	CEP295
J3QMI2	ZFP799
Q5FWC7	ZPBP2
A2ADE5	FBLIM1
C6EQI7	ZFP821
D6RGA9	RAPGEF3
Q5DTW4	DNAH5
Q61354	CEACAM1
Q8BYT7	GM9889
Q91ZH2	PCNA
A0A0A6YW56	SEMA3B
A2A6D9	CDK5RAP3
A2A7I0	GM13145
A2AG14	NUP62CL
A2AKT6	XPO1
A2ATP1	NEK6
A8Y5I7	GABRP
B1AT24	DUSP14
F6W0C2	CDC42BPA
F6X001	NKAIN4
F6YFW9	MIB1
F6ZEZ1	COBL
F7AWU3	PHLDB1
F7BX34	SYNE2
Q5SX16	IRF1
A0A0A6YW00	TAF1A
E9QP07	PRPF40B
F2Z3V9	ZFP652
F6UU42	4430402I18RIK
J3QJY3	GM20594
Q3USM7	KMT2D
Q499W5	NEURL1A
Q9CVU5	HNRNPL
D3Z6S5	PLEKHB1
E9PX92	TMEM139
E9Q2Y1	GRIK1
E9Q917	FAM168B
F6QML7	ERCC8
L7N2B7	VMN2R77
Q0PCR5	CACNA1C
Q3TZU6	RHOJ
Q3U505	RPN2
Q3UTF3	CAPN5
A6H6P3	VGLL1
E0CXB5	PTTG1IP
E9PWC7	ASB14
E9Q0W1	KLRB1A
E9Q5A6	NR1H5
E9Q9Q8	ART3
F6Q785	GM29094
G3UZY2	TXN2
Q3THC7	RPL8
Q3TWG9	SERPINH1
Q3UBA0	FKBP1A
Q3ULF1	GM10324
Q3UTF0	TBXAS1
Q3UY70	FAM105A
Q6A001	HDAC9
Q9CSQ3	LIX1
E9PX90	FGFR2
E9Q0G7	VMN2R83
E9Q365	VMN1R101
E9Q4P5	SYNJ2
E9Q6G0	MAST4
E9Q9X9	GM3033
G3UX69	NOTCH4
G3UYY3	HNRNPL
Q3TBM0	BLZF1
Q3U4N8	CSF1R
Q3UUT6	D430041D05RIK
Q3Y597	SIGLECH
Q4U113	RELA
A0A088DEG1	SHANK3
E9PAJ0	NKX1-2
E9Q6L5	ATRIP
G3UX31	USP32
Q3T9H2	ADAR
Q3TDH9	PHF12
Q3TGK4	AAED1
Q3TQL4	IMMT
Q2M4J5	MMP9
Q8CCP9	ZFP955A
E9QN41	STRIP2
E9QPA1	RIC1
Q8BUI1	CYP4F13
Q8CIP9	ZFP640
A8Y5Q7	MANEA
E0CX59	PKP2
L7N297	GM8356
D3YVB0	LIPN
D3YY21	NUGGC
D3Z1D7	GPRIN2
D3Z2C7	SORBS2
D3Z524	ZFP687
F8WIA1	CLIP1
Q5R1C2	TRAV9-4
Q6P9T5	FHOD3
Q8C1U7	TTC7
A0A087WPV3	ACY1
A0A0A6YX98	ZBTB18
B0G0Y1	CYP4A12B
D3YVS6	G6B
D3YW39	L3MBTL4
D3YYH0	PEX5L
D3Z0L6	GPD1L
D3Z4X7	ARL10
F8WI22	BCLAF1
Q8BKY0	CDK5R1
A0A075B5S1	IGHV9-1
A2AKU9	ATP5C1
Q9D874	CCDC71L
H3BLL3	LRCH4
M0QWX9	GM8246
Q78GE8	VMN1R51
H3BJI6	CTAGE5
H3BK66	WDR37
H3BK68	TRMT1
H3BLI7	RASL10B
Q14DQ0	NDST3
Q32MS4	ARHGAP4
Q99LX1	SCAMP1
Q0VEC6	RNF213
W6CR13	MKNK2
C9W8M5	1700080E11RIK
Q0PL83	RPAIN
Q0VGS1	VASH1
Q75UT7	MMP2
Q14BL7	ADAM19
Q6P215	PRL2C2
Q8BY10	PCDH9
A0A0U1RQ68	APBA2
A0A0G2JGI3	LHFPL3
A0A0G2JFE0	TDRKH
A0A0N4SW41	IL17RE
A0A0N4SUY1	TMEM176B
Q9JJA1	ZPR1
Q62321	H2-T3
Q9CZN0	2700049A03RIK
D6RFP5	RRM2B
E0CZ24	AW554918
E0CZ73	OCLN
F8VQK3	GUCY1A2
Q62339	OLFR23
Q8K312	CAB39
Q9CRJ4	GLDC
A0A075B601	TRAV9-1
D6RCI3	METTL5
D6RHS6	PEBP1
D6RGP7	NCEH1
E9QPI9	ERCC6L2
F6VZG1	GM4889
F7BUA2	BC024978
F7CVW0	SBNO1
J3QP64	BIRC6
F8VQ54	DICER1
Q3UUW7	EXTL3
Q6P4S7	ZMYND8
Q99M58	GADD45G
A0A0A0MQH6	FBXW5
A0A0A6YXX0	KCNK2
A2AGH8	MED12
E9QP50	BC016579
Q60725	L1MD-A1
Q8K4S8	MINK
A0A087WRD7	1700011E24RIK
A0A087WS73	SRGAP2
M0QW47	CDC20B
Q3TC53	CAP1
Q3TIW4	NF2
Q9CSU7	2810004N23RIK
F6RZ85	GM10663
Q5DTK3	PRKCI
Q8BWH5	WRN
Q8R227	TRAF3IP2
A0A087WQA7	LSAMP
A0A087WSJ6	1700031M16RIK
D3YZ10	SMTN
O08930	CEA15
Q5XQH6	H2-EB
Q70LU7	CRS4C3B
Q80TH4	ZFP644
Q80UY9	GOLGB1
Q8BJH6	FLI1
Q8BKZ3	CAP2
Q8BXV4	ECD
Q8C883	PCDH12
Q8CFJ6	STAT3
Q8VCM6	HEATR5B
Q9CVX1	4930579F01RIK
Q9JKZ9	SEZ6L
A0A075B6D4	TRAV6-5
A0A087WR51	2210011C24RIK
A0A087WSI7	ZFP850
A0A0A6YY30	ANKRD45
D3YUQ8	TMEM54
D3YWU2	NLRP9B
D3YZT4	SGPL1
D3Z2Z3	TMTC3
D3Z407	ABCC1
D3Z6J2	ADGRL3
Q62128	EPHB4
Q8BPA2	HIP1R
Q8C6F5	TM9SF3
Q8K2U0	MAP2K4
D3YTT0	BPIFC
D3Z0S4	KLF11
D3Z1Z8	STMN1
P70165	COL4A5
Q3TY75	TBR1
Q3TAQ1	PDE4B
Q8C8M7	TFDP2
Q8CAQ7	TRAF2
Q9CSC2	SNX3
G3UZF1	GM20509
G3UZH9	EGFL7
M0QWH4	GM26965
Q3TAM9	BAG3
Q3TIY6	GDI2
Q3TNQ0	UBTD2
Q3TVC0	VSNL1
A2AFP8	TCEANC
E9PVI1	ASPSCR1
E9PXL2	SEMA3C
E9Q1A0	PDE4DIP
E9Q2E4	GM15800
E9Q8D1	ZMYND8
F6T356	FBXO11
Q3UBV2	LTF
Q3URT7	BARD1
Q3UUY4	ARL4A
Q501L8	SCAPER
B7ZWP1	FAM219A
E9PXW0	ZFP263
E9Q5A2	BC107364
E9Q5X3	THRAP3
G3UXE5	DDR1
Q3TIJ9	ACTB
Q3TRJ6	PEX16
Q3TXY1	ASAP1
Q3U0M8	ELAC2
B2RWU3	FANCA
G3UX39	PAX5
Q1LZK8	TMEM94
Q3T9T5	CD22
Q3TAN0	CDH17
Q3TQ64	A430078G23RIK
Q4FJJ9	MX1
X1WI14	TTC39A
A2AG13	NUP62CL
Q3UUU0	EMILIN1
Q543H4	HOXC6
A0A087WPL8	ATG9A
A0A087WR37	DNAJB2
A0A0A6YY66	VAMP4
D3YUH8	ARHGAP20
F6SK53	NCOR2
I6L890	CASP16-PS
Q3TSK1	RAPGEF3
Q6NVB7	CORO2A
Q80V21	SEC24D
Q8BWJ0	ZFP142
Q8C6R5	PTK2B
Q8VE29	GPATCH8
Q9CYA9	UBFD1
V9GX87	STAU1
B2RWZ5	AQP5
D3YVQ9	MICAL2
D3YZ27	RAB36
D3Z3L3	TRIM12C
F8WH29	PKHD1L1
K3W4N2	IL18
Q14BV9	GPR55
Q3TIV3	PARP1
Q6IS37	FAM63A
Q80T04	AP3D
A0A087WS31	DNPEP
D6RCU2	CAMTA2
D6RE34	CLN6
H3BIZ3	MRPL17
Q8BXD4	SHKBP1
Q8BYY2	RFX1
Q8CAZ5	KRTAP24-1
A0A0A6YWB9	MME
A2A6J8	TNNI2
D3Z0S0	COPS7A
D3Z377	HIF3A
D3Z378	CSPP1
D3Z7T7	CHTOP
D6RD07	PDPR
F8WI85	LRRC36
I6L9E9	SLC22A17
Q3UY95	CREG2
Q80XM0	KMT2A
Q8BNW2	CLN8
Q8BZC5	PLSCR4
Q8C009	SLC6A3
Q8VCV5	IGH
Q9CRJ5	RPS8
Q9CYR1	2410018L13RIK
B3SRB2	ADAM10
D6REG7	CCDC81
D6RHA0	TXNDC11
E0CZ18	TMEM55B
Q69Z49	SH3TC2
Q8C2Z2	PEX1
Q8VDH6	ZFP623
Q9D8A8	TCTN2
V6AW11	CCL3
A0A0A6YW95	BCAN
A1YYM5	FGFR2
D3YWR2	BLNK
D3Z223	BPGM
J3QPZ8	EIF1
Q3UFT9	2610008E11RIK
A0A0A6YWU1	TRBJ1-2
Q761U9	GLYT2
Q9TDS6	CYTB
H3BKQ0	ARHGEF6
Q570Z6	UHRF1BP1
Q58ET3	MUCL1
Q8BNT4	CASP3
C4PFH6	PSMC3IP
B7ZWL9	GPI1
U5LK79	CAMSAP3
A0A0F7W8R9	IGH
D0EX61	MBNL2
Q14B39	CRIP3
Q8BW40	CAMK2G
S4R2G4	ZFP407
A0A0U1RP09	OLFR464
A0A0U1RPA1	MILL2
A0A0E3UR71	KLRA7
A0A0G2JGE0	BRI3BP
A0A0G2JDY9	MLH1
A0A0G2JG07	SNX27
A0A0J9YTT5	ZEB2
A0A0J9YUU0	PPP2R2C
A0A0J9YVC5	PARP11
A0A0U1RPZ6	IL4RA
A0A0N4SUJ4	KLRB1A
A0A0N4SUQ4	GM9780
A0A0N4SW75	TPRA1
O88217	ZFP719
Q924Q7	IGHM
Q9CVV0	CUX1
Q05CJ8	GOLGA1
Q69ZI8	BAZ2B
Q8R0V6	EHD3
Q9CW90	ITM2B
D6RHQ2	ENTPD1
Q05D10	SLCO2B1
A5HKN3	DLX6
B0V2P5	DMXL2
D6REV5	SBDS
D6RGL7	ATP5F1
E0CY48	TTC39B
F7CII1	NR2F1
Q05CD2	PSIP1
Q5GMG7	SLC35C2
Q9CUG0	DNAJC10
Q5DTG7	GRIP1
Q684Q3	AVPR2
Q8BPE7	CRK
Q8K4N4	MZF1
A2ACT8	NUDT6
A2AJY7	COL15A1
A8Y5L4	CFAP61
